,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,LMP eSports Team Turian,,1983 Nissan #23 Silvia Super Silhouette,,GT,827,3:24.898,204898,3,10,2343.58,Leecherd,Leecherd,,,,150078,195.24,LMP Porsche,LMP Porsche,,,,153977,194.96,LMP Dragon,LMP Dragon,,,,157474,195.28,KartRacer212429,KartRacer212429,,,,155093,195.57,LMP Porsche,LMP Porsche,,,,151337,196.29,KartRacer212429,KartRacer212429,,,,148910,194.95,Ahmad Galal4418,Ahmad Galal4418,,,,163941,193.04,LMP Dragon,LMP Dragon,,,,153483,194.86,Ahmad Galal4418,Ahmad Galal4418,,,,142779,196.38,Leecherd,Leecherd,,,,145915,195.51,LMP Porsche,LMP Porsche,,,,152858,195.30,Ahmad Galal4418,Ahmad Galal4418,,,,143200,196.21,2343.581,12,133
16,HYR Roy Millward Motorsport,,1983 Nissan #23 Silvia Super Silhouette,,GT,31,3:23.997,203997,3,2,2342.79,I AM Mamba5145,I AM Mamba5145,,,,150121,195.23,I AM Mamba5145,I AM Mamba5145,,,,141194,197.38,XI Rydog IX,XI Rydog IX,,,,159076,194.97,HYR Maul,HYR Maul,,,,144047,197.66,HYR Riddle U,HYR Riddle U,,,,156839,195.24,HYR Riddle U,HYR Riddle U,,,,143732,195.93,HYR Maul,HYR Maul,,,,148899,195.89,HYR Riddle U,HYR Riddle U,,,,150631,195.40,XI Rydog IX,XI Rydog IX,,,,161255,192.88,I AM Mamba5145,I AM Mamba5145,,,,146795,195.34,HYR Bookey,HYR Bookey,,,,177664,190.60,I AM Mamba5145,I AM Mamba5145,,,,142957,196.26,2342.792,12,130
17,HYR eSports,,1983 Nissan #23 Silvia Super Silhouette,,GT,29,3:22.198,202198,1,10,2336.82,HYRStokeyjoe,HYRStokeyjoe,,,,155635,198.14,HYR Skyline,HYR Skyline,,,,151594,198.29,HYR Fre1tas,HYR Fre1tas,,,,156380,198.19,Cali Autumn,Cali Autumn,,,DNF,,178.40,Cali Autumn,Cali Autumn,,,,160700,198.14,HYR Fre1tas,HYR Fre1tas,,,DNF,,178.06,Cali Autumn,Cali Autumn,,,,150814,197.94,HYRStokeyjoe,HYRStokeyjoe,,,,151436,198.04,HYRStokeyjoe,HYRStokeyjoe,,,,152155,198.06,HYR Fre1tas,HYR Fre1tas,,,,162794,197.16,HYR Skyline,HYR Skyline,,,,155536,198.02,HYRStokeyjoe,HYRStokeyjoe,,,,154916,198.37,2336.818,10,127
18,NWR GT,,1979 Datsun #33 280ZX Turbo,,GT,155,3:23.564,203564,2,8,2331.37,NWR Zula,NWR Zula,,,,157652,196.92,NWR Zula,NWR Zula,,,,153030,196.90,NWR Arkinha,NWR Arkinha,,,,154302,196.20,NWR Arkinha,NWR Arkinha,,,,151345,198.09,NWR Onioin,NWR Onioin,,,,154299,196.31,NWR Stevie,NWR Stevie,,,,192304,190.27,NWR Onioin,NWR Onioin,,,,154494,195.71,NWR onioin,NWR onioin,,,,163360,195.54,NWR Customs,NWR Customs,,,,155654,196.35,NWR Customs,NWR Customs,,,DNF,,175.41,NWR Arkinha,NWR Arkinha,,,,154655,196.60,NWR Zula,NWR Zula,,,,147768,197.07,2331.369,11,124
19,DMS eSports Ford,,1982 Ford #6 Mustang IMSA GT,,GT,49,3:25.167,205167,4,1,2331.09,DMSdan48,DMSdan48,,,,146052,195.21,DMS Chris17,DMS Chris17,,,,151655,194.18,DMSjake83,DMSjake83,,,,149921,195.52,DMS Hunter21,DMS Hunter21,,,,152719,194.60,DMS Chris17,DMS Chris17,,,,156892,194.48,DMSdan48,DMSdan48,,,,151786,195.01,DMS Chris17,DMS Chris17,,,,145812,193.91,DMSjake83,DMSjake83,,,,149651,195.03,DMS Hunter21,DMS Hunter21,,,,156164,193.58,DMSdan48,DMSdan48,,,,153139,194.44,DMSjake83,DMSjake83,,,,154329,193.54,DMS Hunter21,DMS Hunter21,,,,171571,191.59,2331.086,12,121
20,Zephyrus Red,,1982 Ferrari #72 512 BB/LM,,GT,14,3:23.727,203727,2,9,2326.30,T10 Tio Forza,T10 Tio Forza,,,,165360,195.46,ZR SHERM4N,ZR SHERM4N,,,,162090,195.19,ZR SHERM4N,ZR SHERM4N,,,,159525,195.21,ZR Taffy,ZR Taffy,,,DNF,,175.33,ZR Taffy,ZR Taffy,,,,176784,192.05,ZR SHERM4N,ZR SHERM4N,,,,164326,195.57,ZR Valac,ZR Valac,,,,153602,195.88,ZR Valac,ZR Valac,,,,158517,196.46,T10 Tio Forza,T10 Tio Forza,,,,158351,195.84,ZR Derluki,ZR Derluki,,,,157973,196.35,ZR Derluki,ZR Derluki,,,,153515,196.82,T10 Tio Forza,T10 Tio Forza,,,,152623,196.15,2326.296,11,118
21,Japspeed Racing GT,,1984 Nissan #20 Bluebird Super Silhouette,,GT,60,3:21.660,201660,1,7,2322.58,JSR Craviator,JSR Craviator,,,DNF,,179.48,JSR Craviator,JSR Craviator,,,,143808,199.76,HYR Panducat,HYR Panducat,,,,148287,199.72,JSR Light,JSR Light,,,,152950,198.70,JSR Blackend,JSR Blackend,,,DNF,,179.48,JSR Light,JSR Light,,,DNF,,178.14,JSR Chronic,JSR Chronic,,,,160269,196.15,JSR Craviator,JSR Craviator,,,,145339,199.20,JSR Blackend,JSR Blackend,,,,154057,197.70,HYR Panducat,HYR Panducat,,,,156660,198.33,HYR Panducat,HYR Panducat,,,,153970,198.32,JSR Craviator,JSR Craviator,,,,148941,199.51,2322.584,9,116
22,Raven Racing II,,1981 Ford #2 Capri Turbo,,GT,113,3:27.897,207897,4,10,2321.43,Akilyou432,Akilyou432,,,,164767,191.66,Bloodracer12,Bloodracer12,,,,194531,186.06,Bloodracer12,Bloodracer12,,,,147204,196.03,RVN Barricade,RVN Barricade,,,,150987,194.93,RVN Barricade,RVN Barricade,,,,154826,194.88,Akilyou432,Akilyou432,,,,156277,194.16,raygun vs zombi,raygun vs zombi,,,,142922,194.45,raygun vs zombi,raygun vs zombi,,,,152606,194.47,Akilyou432,Akilyou432,,,,153795,194.03,RVN Barricade,RVN Barricade,,,,150375,194.96,RVN Barricade,RVN Barricade,,,,145549,195.21,Akilyou432,Akilyou432,,,,161826,193.44,2321.431,12,114
23,Porsche Team PaINske,,1974 Porsche #1 911 RSR,,GT,90,3:24.071,204071,3,4,2313.94,zrolizac,zrolizac,,,,165746,192.27,zrolizac,zrolizac,,,,165291,192.81,MOMOnica 97,MOMOnica 97,,,,151542,196.40,PHOENlX 8,PHOENlX 8,,,,166308,193.45,PHOENlX 8,PHOENlX 8,,,,161033,194.45,MOMOnica 97,MOMOnica 97,,,DNF,,175.25,Dr CHAIR PHD,Dr CHAIR PHD,,,,147778,196.11,Dr CHAIR PHD,Dr CHAIR PHD,,,,144487,196.56,Snow3883,Snow3883,,,,151961,194.64,Snow3883,Snow3883,,,,165140,191.87,PHOENlX 8,PHOENlX 8,,,,157374,194.44,MOMOnica 97,MOMOnica 97,,,,146003,195.68,2313.939,11,112
24,Evolve Racing,,1981 Ford #2 Capri Turbo,,GT,723,3:25.843,205843,4,3,2308.65,EVR Dunkey,EVR Dunkey,,,,154657,193.58,EVR Prisma,EVR Prisma,,,,180713,188.68,EVR Cactus,EVR Cactus,,,,162246,193.18,EVR Prisma,EVR Prisma,,,,193131,186.94,EVR Dunkey,EVR Dunkey,,,,157634,194.34,EVR Rewar,EVR Rewar,,,,152226,194.93,EVR Tropical,EVR Tropical,,,,145880,193.89,EVR Rewar,EVR Rewar,,,,154115,194.19,EVR Tropical,EVR Tropical,,,,153820,194.02,EVR Cactus,EVR Cactus,,,,165540,192.09,EVR Dunkey,EVR Dunkey,,,,165650,191.40,EVR Prisma,EVR Prisma,,,,172520,191.41,2308.654,12,110
25,1HOR,,1983 Nissan #23 Silvia Super Silhouette,,GT,160,3:26.298,206298,4,5,2302.36,Kuroshine,Kuroshine,,,,179941,188.79,FraughtMeteor8,FraughtMeteor8,,,,148516,194.78,FraughtMeteor8,FraughtMeteor8,,,,149712,195.56,shad0wzgamer,shad0wzgamer,,,,174409,190.49,shad0wzgamer,shad0wzgamer,,,,176172,190.83,Jabingus,Jabingus,,,,154478,194.50,Kuroshine,Kuroshine,,,,196977,184.22,Aspect114915,Aspect114915,,,,152422,194.51,Jabingus,Jabingus,,,,152886,194.20,Aspect114915,Aspect114915,,,,150315,194.97,Kuroshine,Kuroshine,,,,188530,187.07,FraughtMeteor8,FraughtMeteor8,,,,165499,192.74,2302.361,12,108
26,Team Sakura Retrocrushes 1.5,,1983 Nissan #23 Silvia Super Silhouette,,GT,25,3:25.233,205233,4,2,2291.52,ll MrKhepri,ll MrKhepri,,,,146864,195.05,ll MrKhepri,ll MrKhepri,,,,147167,195.03,Ax4x Histarium,Ax4x Histarium,,,,190674,187.80,ll MrKhepri,ll MrKhepri,,,,144467,196.16,FreshCubanBread,FreshCubanBread,,,,153509,195.13,Ax4x Histarium,Ax4x Histarium,,,,205122,184.91,FreshCubanBread,FreshCubanBread,,,,141829,194.66,FreshCubanBread,FreshCubanBread,,,,151712,194.64,Ax4x Histarium,Ax4x Histarium,,,,193939,186.43,Ax4x Mikun,Ax4x Mikun,,,,151335,194.78,FreshCubanBread,FreshCubanBread,,,,149927,194.38,Ax4x Mikun,Ax4x Mikun,,,DNF,,174.45,2291.516,11,106
27,Skill Issue Crew,,1982 Ferrari #72 512 BB/LM,,GT,83,3:24.772,204772,3,9,2269.66,AFz Maverick,AFz Maverick,,,,160414,193.28,NCRottweilas,NCRottweilas,,,,165697,192.74,NCRottweilas,NCRottweilas,,,,163407,194.15,GodzillaCR19,GodzillaCR19,,,,156630,195.28,ACR CHOLIN,ACR CHOLIN,,,,151093,196.33,GodzillaCR19,GodzillaCR19,,,DNF,,174.52,ACR CHOLIN,ACR CHOLIN,,,DNF,,174.52,ACR CHOLIN,ACR CHOLIN,,,,147435,196.00,AFz Maverick,AFz Maverick,,,,149215,195.16,TIICTaco,TIICTaco,,,DNF,,174.52,TIICTaco,TIICTaco,,,,177769,190.58,AFz Maverick,AFz Maverick,,,,152466,194.46,2269.664,9,104
28,APEX Driving School - AM,,1982 Ferrari #72 512 BB/LM,,GT,54,3:27.110,207110,4,7,2263.60,APEXDRAGON5,APEXDRAGON5,,,,167620,191.12,APEX FORTUNE 19,APEX FORTUNE 19,,,,165428,191.57,CrisHokage20,CrisHokage20,,,,171494,191.43,APEXDRAGON5,APEXDRAGON5,,,,165004,192.27,APEX FIAT,APEX FIAT,,,DNF,,172.50,APEX FORTUNE 19,APEX FORTUNE 19,,,,168845,191.78,APEXDRAGON5,APEXDRAGON5,,,DNF,,172.80,CrisHokage20,CrisHokage20,,,,173006,190.61,APEX FORTUNE 19,APEX FORTUNE 19,,,,166330,191.65,APEX FIAT,APEX FIAT,,,,153083,194.45,CrisHokage20,CrisHokage20,,,,165085,191.51,APEX FORTUNE 19,APEX FORTUNE 19,,,,169880,191.91,2263.597,10,102
29,TNR eSports - Team Aces,,1983 Nissan #23 Silvia Super Silhouette,,GT,7,3:22.388,202388,2,2,2157.37,TNR Horizon,TNR Horizon,,,DNF,,178.76,GPR Bryker,GPR Bryker,,,,143337,198.74,TNR Horizon,TNR Horizon,,,,141894,198.55,TNR zacxx,TNR zacxx,,,,145743,199.15,TNRVerCallum,TNRVerCallum,,,,145155,198.04,TNR zacxx,TNR zacxx,,,,147108,198.83,TNR Horizon,TNR Horizon,,,,142896,197.90,GPR Bryker,GPR Bryker,,,,149376,198.19,TNR zacxx,TNR zacxx,,,,144096,198.54,TNRVerCallum,TNRVerCallum,,,,179975,192.18,GPR Bryker,GPR Bryker,,,,144720,198.49,TNRVerCallum,TNRVerCallum,,,DNS,,0.00,2157.371,10,100
30,DNFX skill issued,,1975 BMW #25 3.0 CSL,,GT,99,3:24.343,204343,3,6,2154.91,Hillfigg3r,Hillfigg3r,,,,142630,196.65,JohNixe,JohNixe,,,,151215,195.48,NukeX1617,NukeX1617,,,,158636,195.06,JBlack240,JBlack240,,,,150271,196.48,NukeX1617,NukeX1617,,,,148094,196.90,JBlack240,JBlack240,,,,145003,195.69,NukeX1617,NukeX1617,,,,145793,196.48,MetalBomb269,MetalBomb269,,,,151845,195.17,JohNixe,JohNixe,,,,148680,195.26,Hillfigg3r,Hillfigg3r,,,,141901,196.27,MetalBomb269,MetalBomb269,,,DNS,,0.00,Hillfigg3r,Hillfigg3r,,,,142111,196.42,2154.913,11,98
31,OSM Racing Black,,1975 BMW #25 3.0 CSL,,GT,555,3:23.108,203108,2,3,2153.52,OSM ThomasY,OSM ThomasY,,,,150144,198.34,neng0325,neng0325,,,,148822,197.70,OSM Bob6y,OSM Bob6y,,,,144137,198.12,OSM Bob6y,OSM Bob6y,,,,147633,198.80,OSM Aerith,OSM Aerith,,,,145329,198.01,OSM Aerith,OSM Aerith,,,DNF,,177.26,OSM ThomasY,OSM ThomasY,,,,143036,197.88,OSM ThomasY,OSM ThomasY,,,,164504,195.32,OSM GregXu,OSM GregXu,,,,153357,196.79,OSM Bob6y,OSM Bob6y,,,,153167,197.26,neng0325,neng0325,,,,149919,197.50,OSM GregXu,OSM GregXu,,,,143859,197.81,2153.518,11,96
32,eMotorsport Racing Team,,1976 Chevrolet #76 Greenwood Corvette,,GT,420,3:24.176,204176,3,5,2133.10,eMC Motoman,eMC Motoman,,,,153635,194.56,eMC Vision,eMC Vision,,,,151541,195.42,eMC Bravo,eMC Bravo,,,,144221,197.79,eMC Rags,eMC Rags,,,,149465,196.64,eMC Zoombat,eMC Zoombat,,,,159344,194.77,eMC Bravo,eMC Bravo,,,,135155,197.55,eMC Vision,eMC Vision,,,,152777,195.16,eMC Rags,eMC Rags,,,DNF,,175.75,eMC Zoombat,eMC Zoombat,,,,152719,194.50,eMC Vision,eMC Vision,,,,148974,194.93,eMC Motoman,eMC Motoman,,,,158428,194.24,eMC Bravo,eMC Bravo,,,,140548,196.71,2133.095,11,94
33,PTG Ninjersey,,1975 BMW #25 3.0 CSL,,GT,458,3:23.850,203850,3,1,2113.42,PTG Ducky,PTG Ducky,,,DNF,,176.31,PTG Ducky,PTG Ducky,,,,139559,197.69,PGR Lucas,PGR Lucas,,,DNF,,176.31,PTG Brains,PTG Brains,,,,154233,195.73,PTG Brains,PTG Brains,,,,159240,194.79,PTG Brains,PTG Brains,,,,160356,192.78,PTG ROB0611,PTG ROB0611,,,,155942,194.56,PTG ROB0611,PTG ROB0611,,,,152857,194.98,PTG ROB0611,PTG ROB0611,,,,150328,194.95,PGR Lucas,PGR Lucas,,,,133097,197.94,PGR Lucas,PGR Lucas,,,,139874,197.76,PTG Ducky,PTG Ducky,,,,147653,195.37,2113.421,10,93
34,Phoenix Motorsport Osiris,,1975 BMW #25 3.0 CSL,,GT,43,3:27.587,207587,4,8,2093.83,SM S133PY,SM S133PY,,,,165941,191.44,SM S133PY,SM S133PY,,,,160684,192.47,JiqSaw Bunqie,JiqSaw Bunqie,,,,206289,184.84,JiqSaw Bunqie,JiqSaw Bunqie,,,,184851,188.51,Rocket881,Rocket881,,,,167380,192.50,Jiqsaw Bunqie,Jiqsaw Bunqie,,,,169074,191.74,SM S133PY,SM S133PY,,,,157338,191.72,Jiqsaw Bunqie,Jiqsaw Bunqie,,,,180409,189.21,Rocket881,Rocket881,,,,160849,192.69,Rocket881,Rocket881,,,,181797,189.01,SM S133PY,SM S133PY,,,,164607,191.60,Rocket881,Rocket881,,,DNS,,0.00,2093.832,11,92
35,CDR Motorsport,,1975 BMW #25 3.0 CSL,,GT,70,3:25.882,205882,4,4,2083.79,Sonic Trogg,Sonic Trogg,,,,157222,193.09,CDR Monster,CDR Monster,,,,190703,186.79,Sonic Trogg,Sonic Trogg,,,,165239,192.61,CDR Woody,CDR Woody,,,,150951,194.93,Sonic Trogg,Sonic Trogg,,,,163903,193.16,DOR NiTeM4Re,DOR NiTeM4Re,,,DNF,,171.34,CDR Monster,CDR Monster,,,,189549,185.62,CDR Woody,CDR Woody,,,,157406,193.56,DOR NiTeM4Re,DOR NiTeM4Re,,,,163971,192.10,CDR Woody,CDR Woody,,,,169378,191.36,CDR Monster,CDR Monster,,,,177161,189.22,DOR NiTeM4Re,DOR NiTeM4Re,,,DNS,,0.00,2083.785,10,91
36,Phoenix Motorsport,,1981 Ford #2 Capri Turbo,,GT,33,3:27.588,207588,4,9,1918.27,Jeeday5415,Jeeday5415,,,,155741,193.37,PXM Turismo,PXM Turismo,,,,175028,189.76,Jeeday5415,Jeeday5415,,,,155975,194.37,Jeeday5415,Jeeday5415,,,,150719,194.98,PXM Turismo,PXM Turismo,,,,154353,194.97,HYRmelanie9,HYRmelanie9,,,,181142,189.45,PXM Turismo,PXM Turismo,,,DNS,,0.00,Jeeday5415,Jeeday5415,,,,160279,193.02,HYRmelanie9,HYRmelanie9,,,,185474,188.03,HYRmelanie9,HYRmelanie9,,,,176308,190.05,HYRmelanie9,HYRmelanie9,,,,171501,190.29,PXM Turismo,PXM Turismo,,,DNS,,0.00,1918.275,10,90
37,Big Schnoz: One Last Dance,,1976 Chevrolet #76 Greenwood Corvette,,GT,156,3:24.537,204537,3,8,1748.98,TNR LarryB,TNR LarryB,,,,140964,196.96,TNR LarryB,TNR LarryB,,,DNF,,177.54,Cytherena,Cytherena,,,,151531,196.40,Cytherena,Cytherena,,,,143705,197.73,TNR LarryB,TNR LarryB,,,,142318,197.99,TNR LarryB,TNR LarryB,,,,135136,197.55,KingOfTwlght,KingOfTwlght,,,,155980,194.55,KingOfTwlght,KingOfTwlght,,,,151181,195.29,KingOfTwlght,KingOfTwlght,,,,150352,194.95,Cytherena,Cytherena,,,DNS,,0.00,TNR LarryB,TNR LarryB,,,DNS,,0.00,Cytherena,Cytherena,,,DNS,,0.00,1748.981,8,89
38,Team LCR,,1981 Ford #2 Capri Turbo,,GT,768,3:23.355,203355,2,7,1368.57,LCR Apex,LCR Apex,,,,162546,195.99,LCR Leopard,LCR Leopard,,,,149679,197.54,LCR Apex,LCR Apex,,,,157456,195.60,Housman212e,Housman212e,,,,152766,197.82,SWR Taikyu,SWR Taikyu,,,,151972,196.75,Housman212e,Housman212e,,,,204605,187.94,SWR Taikyu,SWR Taikyu,,,DNS,,0.00,SWR Taikyu,SWR Taikyu,,,DNS,,0.00,LCR Leopard,LCR Leopard,,,,152638,196.93,LCR Leopard,LCR Leopard,,,DNS,,0.00,SWR Taikyu,SWR Taikyu,,,DNS,,0.00,Housman212e,Housman212e,,,DNS,,0.00,1368.570,7,88
39,DIR GT,,1976 Chevrolet #76 Greenwood Corvette,,GT,138,3:26.451,206451,4,6,1355.48,GGA FlakBus,GGA FlakBus,,,,144683,195.47,GGA FlakBus,GGA FlakBus,,,,146250,195.21,GGA FlakBus,GGA FlakBus,,,,145487,196.36,FTC Dartman,FTC Dartman,,,,169313,191.45,GGA FlakBus,GGA FlakBus,,,,147526,196.26,FTC Dartman,FTC Dartman,,,,185044,188.71,GGA FlakBus,GGA FlakBus,,,,155714,192.03,GGA FlakBus,GGA FlakBus,,,DNS,,0.00,GGA FlakBus,GGA FlakBus,,,DNS,,0.00,GGA FlakBus,GGA FlakBus,,,DNS,,0.00,FTC Dartman,FTC Dartman,,,DNS,,0.00,RSOC WILSON,RSOC WILSON,,,DNS,,0.00,1355.483,7,87
40,UDP Racing - Gold,,1979 Datsun #33 280ZX Turbo,,GT,12,3:32.347,212347,4,1,897.45,TheCalamityF0x,TheCalamityF0x,,,,187206,187.41,Chasesunbox,Chasesunbox,,,DNS,,0.00,TheCalamityF0x,TheCalamityF0x,,,,190431,187.84,Chasesunbox,Chasesunbox,,,,212391,183.30,TheCalamityF0x,TheCalamityF0x,,,,264733,174.06,C0ffee5004,C0ffee5004,,,DNF,,0.00,Chasesunbox,Chasesunbox,,,DNF,,0.00,C0ffee5004,C0ffee5004,,,DNS,,0.00,Chasesunbox,Chasesunbox,,,DNS,,0.00,C0ffee5004,C0ffee5004,,,DNS,,0.00,Chasesunbox,Chasesunbox,,,DNS,,0.00,C0ffee5004,C0ffee5004,,,DNF,,164.84,897.448,4,86
41,The Wolf Pack,,1982 Ferrari #72 512 BB/LM,,GT,976,3:24.008,204008,3,3,0.00,AMS ODD71,AMS ODD71,,,DNS,,0.00,Scorpio2656,Scorpio2656,,,DNS,,0.00,DesertWolf66,DesertWolf66,,,DNS,,0.00,AMS ODD71,AMS ODD71,,,DNS,,0.00,Scorpio2656,Scorpio2656,,,DNS,,0.00,DesertWolf66,DesertWolf66,,,DNS,,0.00,AMS ODD71,AMS ODD71,,,DNS,,0.00,Scorpio2656,Scorpio2656,,,DNS,,0.00,DesertWolf66,DesertWolf66,,,DNS,,0.00,AMS ODD71,AMS ODD71,,,DNS,,0.00,Scorpio2656,Scorpio2656,,,DNS,,0.00,DesertWolf66,DesertWolf66,,,DNS,,0.00,0.000,,