R,CR,LBY,CLA,DRIVER,TEAM,SCORE,STAT 1,STAT 2,STAT 3,STAT 4,STAT 5,STAT 6,STAT 7,STAT 8
1,1,A,P,F1R Eclipse,Friends 1ˢᵗ Team Porsche,100.000,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,
2,2,A,P,RZM Shaun,Friends 1ˢᵗ Team Porsche,98.709,100.00%,100.00%,100.00%,96.88%,95.97%,90.32%,,
3,1,A,GT,SDW TheSavi1,SDW Young Rich and Noble,98.074,100.00%,100.00%,100.00%,100.00%,97.86%,,,
4,2,A,GT,SDW Yokohama,SDW Young Rich and Noble,97.814,100.00%,100.00%,100.00%,99.64%,94.59%,,,
5,3,A,GT,VNX Carried,Vanatix eSports,97.354,100.00%,97.37%,97.14%,95.00%,94.87%,94.29%,,
6,3,A,P,JSR Parallel K1,Friends 1ˢᵗ Team Porsche,96.584,100.00%,100.00%,97.58%,97.06%,88.24%,,,
7,4,A,GT,F1R NeMy,Friends 1ˢᵗ Team Nissan,95.947,97.50%,97.44%,96.88%,94.29%,91.89%,88.57%,,
8,4,A,P,JSR Europa,Japspeed Racing Proto,95.830,100.00%,97.06%,96.97%,95.16%,94.12%,,,
9,5,A,GT,THR Lags,THR Baguette,95.287,97.44%,97.30%,94.74%,92.50%,91.43%,90.63%,,
10,6,A,GT,AMS Razo,SDW Young Rich and Noble,95.204,100.00%,100.00%,100.00%,99.64%,,,,
11,7,A,GT,SDW Whiteout,SDW Young Rich and Noble,94.966,100.00%,100.00%,100.00%,97.14%,,,,
12,5,A,P,JSR Vanquish,Japspeed Racing Proto,94.533,97.06%,97.06%,96.97%,94.35%,90.63%,,,
13,8,A,GT,F1R Dezi9n,Friends 1ˢᵗ Team Nissan,94.377,97.50%,95.71%,92.31%,92.11%,91.67%,89.47%,,
14,6,A,P,F1R Spencer,Friends 1ˢᵗ Team Porsche II,94.164,100.00%,100.00%,97.06%,82.35%,82.26%,,,
15,7,A,P,ESL Decoy,VER All But,92.918,97.06%,96.77%,93.94%,92.74%,79.41%,,,
16,9,A,GT,ESV Barcode,ESV Motorsport,91.992,96.43%,94.87%,94.44%,87.50%,85.00%,,,
17,10,A,GT,ESV Green,ESV Motorsport,91.972,97.06%,94.87%,92.11%,89.29%,85.00%,,,
18,8,A,P,DEX CODCAOS,DEXTERITY,91.963,96.97%,96.77%,96.67%,94.12%,90.91%,14.71%,,
19,11,A,GT,SDW Bowtie48,SDW Young Rich and Noble,91.905,100.00%,100.00%,95.00%,75.00%,,,,
20,12,A,GT,THR Delete,THR Baguette,90.599,94.74%,92.86%,92.50%,88.24%,84.62%,,,
21,9,A,P,TNR LuckyVII,TNR eSports - Team Diamonds,90.538,96.88%,94.12%,88.24%,86.67%,83.87%,,,
22,13,A,GT,NDL Unfolded,NDL Black,90.416,97.22%,93.75%,92.31%,86.43%,70.00%,,,
23,10,B,P,ZR RuizRacer,Zephyrus Gold,89.219,94.12%,93.94%,91.18%,83.87%,75.00%,,,
24,14,A,GT,F1R Takashi,Friends 1ˢᵗ Team Nissan,89.162,97.50%,94.12%,87.18%,82.05%,72.14%,,,
25,11,B,P,ZR Villa,Zephyrus Gold,89.053,93.94%,93.75%,91.18%,81.82%,78.23%,,,
26,12,A,P,BDF48GAMING,VER All But,88.786,97.06%,94.12%,91.13%,79.41%,,,,
27,13,A,P,F1R Legrekt,Friends 1ˢᵗ Team Porsche II,88.471,93.55%,87.88%,87.10%,85.29%,85.29%,82.35%,,
28,15,A,GT,JSR Craviator,Japspeed Racing GT,88.238,100.00%,97.37%,97.22%,90.71%,50.00%,5.13%,,
29,16,A,GT,THR Benz,THR Baguette,88.089,94.44%,92.50%,92.14%,89.74%,88.89%,5.13%,,
30,14,B,P,DEX QueirozzExe,DEXTERITY III,87.049,91.18%,91.18%,87.50%,85.29%,75.81%,,,
31,15,A,P,F1R Tronic,Friends 1ˢᵗ Team Porsche,86.960,100.00%,93.75%,93.55%,,,,,
32,16,A,P,JSR RR97,Japspeed Racing Proto,86.755,97.06%,90.00%,85.29%,76.61%,70.59%,,,
33,17,A,GT,NDL Wara,NDL Black,86.741,91.67%,91.43%,89.19%,81.58%,70.00%,,,
34,18,A,GT,ZR Berzerk,Zephyrus Blue,86.640,97.44%,87.14%,81.08%,79.49%,79.41%,77.50%,,
35,17,A,P,TNR Remix,TNR eSports - Team Diamonds,86.486,94.12%,91.18%,84.68%,79.41%,72.73%,,,
36,18,A,P,LMP Smiley,LMP eSports Team Shindo,86.095,94.12%,93.33%,90.32%,79.41%,60.61%,55.88%,,
37,19,B,GT,NDL Beats,CR Motorsport,85.950,89.74%,89.74%,88.57%,82.14%,75.00%,,,
38,20,A,GT,LMP Amoeba,LMP eSports Team Modulo,85.622,90.00%,87.18%,86.11%,84.29%,82.05%,,,
39,21,A,GT,ZR Darius,Zephyrus Blue,85.575,98.57%,86.11%,84.21%,77.50%,,,,
40,22,A,GT,SeldomLegacy,Vanatix eSports,85.179,97.44%,95.00%,86.84%,,,,,
41,23,A,GT,ESV Kartz,ESV Motorsport,83.416,94.87%,93.57%,85.00%,83.78%,2.78%,,,
42,19,A,P,Koarsse,SDW Proto,83.392,91.18%,88.71%,87.10%,70.59%,,,,
43,20,B,P,ZR Johan,Zephyrus Gold,82.883,91.18%,88.24%,83.33%,74.19%,,,,
44,21,A,P,JoeI FM,VER All But,82.863,91.94%,90.63%,84.85%,79.41%,30.00%,,,
45,24,A,GT,HYR Panducat,Japspeed Racing GT,82.815,92.31%,85.00%,82.86%,82.35%,50.00%,,,
46,25,B,GT,OSM Yuzi,OSM Racing White,82.741,91.18%,84.21%,80.56%,80.00%,69.29%,,,
47,26,A,GT,SVR Spector,Vanatix eSports,82.258,95.00%,81.43%,81.25%,76.92%,,,,
48,22,A,P,TNR Blade,TNR eSports - Team Diamonds,81.996,94.12%,84.85%,79.03%,71.88%,,,,
49,27,A,GT,NDL Touge,NDL Black,81.899,87.18%,84.62%,82.86%,78.95%,70.00%,,,
50,28,B,GT,Tachibanaruis,OSM Racing White,81.668,88.89%,86.84%,80.71%,80.00%,,,,
51,29,A,GT,ZR Hayai Cranki,Zephyrus Blue,81.084,85.71%,83.33%,80.00%,79.49%,77.50%,,,
52,30,B,GT,TNR zacxx,TNR eSports - Team Aces,81.005,89.47%,86.49%,84.62%,80.00%,30.00%,,,
53,23,A,P,JSR Ted,Japspeed Racing Proto,80.940,97.06%,84.85%,70.97%,66.94%,64.71%,,,
54,24,A,P,RBM MGEZIN,DEXTERITY,80.724,100.00%,100.00%,99.19%,14.71%,5.88%,,,
55,25,B,P,LMP Krispy,VER Kryptonite,80.629,88.24%,88.24%,81.82%,65.32%,,,,
56,31,A,GT,HYRStokeyjoe,HYR eSports,79.423,83.57%,80.56%,79.49%,78.13%,75.68%,60.00%,,
57,26,A,P,SDW Tsunami,SDW Proto,79.375,87.50%,83.06%,81.82%,70.59%,55.88%,,,
58,32,A,GT,LMP Billbo,LMP eSports Team Modulo,79.324,90.00%,79.29%,76.92%,74.36%,64.86%,,,
59,27,B,P,NDL Dindu,NDL Green,79.241,87.88%,82.35%,74.19%,73.53%,71.77%,,,
60,28,A,P,ferraribss237,VER All But,79.078,87.90%,87.88%,79.41%,56.25%,,,,
61,29,A,P,Real Spill G0at,VER All But,78.937,98.39%,91.18%,79.41%,2.94%,,,,
62,30,A,P,TNR Skiddy,TNR eSports - Team Diamonds,78.436,94.12%,79.41%,77.42%,54.03%,,,,
63,33,B,GT,OSM PercyHR,OSM Racing White,78.394,85.71%,84.62%,80.00%,66.43%,,,,
64,31,B,P,NDL Cosmic,VER Kryptonite,78.355,88.24%,80.65%,76.67%,70.59%,61.76%,,,
65,34,B,GT,OSM Brucee33,OSM Racing White,78.178,89.74%,87.18%,80.00%,75.71%,5.13%,,,
66,32,B,P,ZR Ruso,Zephyrus Gold,78.151,91.18%,82.35%,79.41%,50.00%,,,,
67,33,B,P,DEX Smolker,DEXTERITY II,78.049,90.91%,89.52%,81.25%,53.13%,29.41%,,,
68,34,B,P,EBTe Sixx,EBT eSports #217,77.951,90.91%,77.42%,76.47%,75.00%,58.82%,55.88%,,
69,35,A,P,TNR Canuck,TNR eSports - Team Diamonds,77.768,94.12%,82.35%,72.73%,47.58%,,,,
70,35,A,GT,VNX Driftz,Vanatix eSports,77.574,95.00%,77.78%,77.78%,,,,,
71,36,B,GT,TNR Bryker,TNR eSports - Team Aces,77.279,85.29%,83.33%,81.58%,72.86%,30.00%,,,
72,37,A,GT,ESV Boberts,ESV Motorsport,77.276,85.00%,76.92%,76.32%,73.57%,71.43%,,,
73,38,A,GT,F1R Obvious,Friends 1ˢᵗ Team Nissan,77.033,97.50%,75.00%,72.22%,,,,,
74,39,B,GT,PTG J Caesar,PTG Allstar,76.565,87.50%,78.95%,76.92%,67.65%,64.10%,49.29%,,
75,36,B,P,Squatchmongr,VER Kryptonite,76.005,88.24%,78.79%,69.70%,69.35%,,,,
76,37,A,P,LMP Goki,LMP eSports Team Shindo,74.406,84.38%,78.79%,75.76%,55.88%,,,,
77,40,B,GT,TPR Mellish,PTG Allstar,74.109,87.50%,74.36%,74.29%,60.71%,52.63%,,,
78,38,A,P,SDW Blaziian,SDW Proto,73.618,86.29%,75.76%,70.59%,59.38%,,,,
79,41,B,GT,OSM Hardy,OSM Racing White,73.558,84.38%,80.00%,78.38%,,,,,
80,42,B,GT,SLS Knockhill,PTG Allstar,72.789,87.50%,75.00%,72.97%,63.57%,28.13%,,,
81,39,B,P,DEX Brennow,DEXTERITY III,72.213,85.29%,78.13%,76.47%,59.68%,15.15%,,,
82,40,A,P,SDW Garmite,SDW Proto,72.032,80.00%,73.53%,72.58%,70.59%,,,,
83,41,A,P,F1R Badu,Friends 1ˢᵗ Team Porsche II,71.913,82.35%,78.79%,65.63%,58.06%,,,,
84,43,A,GT,HYR Skyline,HYR eSports,71.759,77.86%,76.47%,76.32%,60.00%,,,,
85,42,A,P,RZX zDwarf,RZX Shadow,71.593,82.35%,75.00%,73.39%,64.71%,64.52%,17.65%,,
86,43,B,P,ROCKMORROW,VER Kryptonite,71.462,88.24%,76.47%,68.75%,46.88%,44.35%,,,
87,44,C,GT,LMP Flo,LMP eSports Team Carson,70.722,82.50%,68.75%,68.57%,66.67%,53.57%,,,
88,44,A,P,DEX Relampz,DEXTERITY,70.717,85.48%,78.13%,75.76%,14.71%,,,,
89,45,C,GT,LMP RCKCHLK,LMP eSports Team Carson,70.553,82.50%,70.27%,66.67%,66.67%,,,,
90,45,B,P,ZR Eternitum,Zephyrus Gold,69.857,91.18%,84.38%,,,,,,
91,46,A,P,F1R Redline,Friends 1ˢᵗ Team Porsche II,69.615,85.29%,82.35%,69.70%,3.33%,,,,
92,47,B,P,CamWorthy,VER Kryptonite,69.434,88.24%,70.59%,58.06%,,,,,
93,48,C,P,SFM Darkzer,SFM Competizione,69.094,73.53%,71.88%,67.65%,64.52%,62.50%,61.29%,,
94,46,A,GT,THR Zaabry,THR Baguette,69.031,92.50%,78.57%,,,,,,
95,47,A,GT,ZR Volatile,Zephyrus Blue,68.933,77.50%,77.14%,71.88%,69.23%,2.63%,,,
96,49,B,P,DEX Gatilho,DEXTERITY III,68.861,85.29%,67.74%,64.71%,58.82%,57.58%,45.16%,,
97,48,A,GT,LMP Juicebox,LMP eSports Team Modulo,68.829,90.00%,63.16%,61.43%,57.14%,50.00%,,,
98,50,A,P,SDW Swift,SDW Proto,68.483,82.35%,79.84%,70.59%,50.00%,3.03%,,,
99,49,A,GT,KVATR0,NDL Black,67.728,92.31%,87.86%,70.00%,5.71%,0.00%,,,
100,51,A,P,LMP tvr,LMP eSports Team Shindo,67.304,80.65%,67.74%,62.50%,55.88%,,,,
101,50,B,GT,Spooky21Squid,HYR Luxsim24 Racing,67.069,71.79%,67.50%,67.14%,65.71%,62.50%,,,
102,52,A,P,RZX JjRedz,RZX Shadow,67.058,85.29%,81.45%,70.59%,48.48%,21.88%,17.65%,,
103,53,B,P,EBTe Viero,EBT eSports #217,66.866,76.47%,70.59%,70.00%,66.67%,44.12%,24.19%,,
104,51,A,GT,Cali Autumn,HYR eSports,66.645,75.00%,74.36%,74.29%,60.00%,2.56%,,,
105,52,B,GT,OSM Bob6y,OSM Racing Black,66.444,82.05%,66.67%,62.86%,62.14%,25.00%,,,
106,54,B,P,NDL Micro,NDL Green,65.936,73.53%,73.33%,60.61%,55.65%,52.94%,,,
107,53,C,GT,RBHM RoadRAT,LMP eSports Team Carson,65.536,82.50%,65.79%,58.82%,,,,,
108,54,B,GT,KingCameron1607,HYR Luxsim24 Racing,65.267,71.79%,68.42%,67.50%,57.86%,,,,
109,55,B,GT,LMP Ranger,LMP eSports Team Croissants,64.995,72.50%,68.42%,64.10%,58.97%,,,,
110,55,C,P,Hanser1560,Autoholic Virgin Racing,64.599,76.47%,73.53%,65.63%,63.71%,38.24%,0.00%,,
111,56,C,GT,LMP Veloce,LMP eSports Team Carson,64.458,82.50%,69.23%,44.74%,,,,,
112,57,B,GT,HYR Swin,HYR Luxsim24 Racing,64.300,69.44%,67.50%,66.67%,61.54%,,,,
113,58,A,GT,JSR Blackend,Japspeed Racing GT,63.603,90.00%,67.57%,50.00%,5.13%,,,,
114,59,B,GT,Lud1cr0us sp33d,PTG Allstar,63.589,87.50%,55.56%,51.28%,,,,,
115,56,B,P,DEX Cookiefede,DEXTERITY III,62.942,85.29%,60.00%,48.48%,42.74%,,,,
116,60,B,GT,neng0325,OSM Racing Black,62.864,73.68%,70.59%,64.29%,25.00%,,,,
117,61,B,GT,TNR Horizon,TNR eSports - Team Aces,62.779,76.43%,74.36%,72.22%,30.00%,2.56%,,,
118,62,A,GT,VNX ZachThe1,Vanatix eSports,61.712,95.00%,59.29%,43.59%,2.94%,,,,
119,63,B,GT,Ferrariclub9,CR Motorsport,61.483,75.00%,59.38%,56.76%,55.26%,45.71%,,,
120,64,B,GT,OSM ThomasY,OSM Racing Black,61.416,82.05%,69.44%,41.67%,25.00%,,,,
121,57,B,P,PTG lilCESAR,PTG Jagster,61.180,68.55%,67.65%,58.82%,52.94%,38.71%,,,
122,65,A,GT,HYR Fre1tas,HYR eSports,61.047,71.79%,65.71%,60.00%,60.00%,10.53%,,,
123,66,B,GT,LMP Elemens,LMP eSports Team Croissants,60.815,72.50%,60.53%,57.14%,52.78%,47.22%,,,
124,67,C,GT,LMP EKleKtiK,LMP eSports Team Carson,59.683,82.50%,61.11%,41.67%,30.00%,,,,
125,68,B,GT,NWR Arkinha,NWR GT,58.994,69.23%,61.76%,57.50%,48.72%,37.86%,,,
126,58,B,P,RZM Salti,PTG Jagster,58.673,79.41%,53.13%,52.94%,43.55%,40.63%,,,
127,59,B,P,EBT Revoltz,EBT eSports #217,58.643,76.47%,70.97%,,,,,,
128,69,C,GT,PGR Lucas,PTG Ninjersey,58.637,77.14%,73.53%,58.57%,20.00%,0.00%,,,
129,70,B,GT,Audianer007,CR Motorsport,58.473,75.00%,56.41%,52.94%,50.00%,33.57%,,,
130,60,D,P,RacinBacon96,Local Line,58.460,66.67%,64.71%,63.64%,41.18%,27.42%,,,
131,61,C,P,AMS Kenpachi,AMS Astro,57.745,64.71%,63.64%,61.76%,33.06%,,,,
132,71,C,GT,eMC Bravo,eMotorsport Racing Team,57.574,73.68%,61.54%,53.13%,41.43%,22.50%,,,
133,62,C,P,Nizrrama,Raven Racing,57.567,73.53%,67.65%,51.52%,44.12%,41.13%,8.82%,,
134,72,B,GT,LCR Leopard,Team LCR,57.474,68.57%,65.79%,62.16%,7.50%,,,,
135,63,C,P,TTJ111,VER Very Legal,57.423,67.65%,61.76%,50.00%,47.06%,,,,
136,64,D,P,X3art Hard,team 3art E-sport 1,57.370,64.71%,63.33%,60.61%,32.35%,,,,
137,65,B,P,ZR Clover,Zephyrus Purple,57.287,76.47%,61.29%,52.94%,5.88%,,,,
138,73,B,GT,OSM GregXu,OSM Racing Black,57.278,65.63%,65.00%,59.46%,25.00%,,,,
139,66,D,P,Femracer,UDP Racing - Blue,57.231,66.13%,57.58%,57.58%,51.52%,44.12%,44.12%,,
140,67,C,P,AMS Virage,AMS Astro,57.223,67.65%,61.76%,55.88%,,,,,
141,68,A,P,DEX Sabino,DEXTERITY,57.168,81.25%,61.76%,14.71%,,,,,
142,74,B,GT,BanzinXz1,HYR Luxsim24 Racing,57.145,67.50%,55.88%,55.26%,50.00%,45.95%,,,
143,75,B,GT,ZR Valac,Zephyrus Red,57.060,63.89%,62.86%,52.50%,50.00%,,,,
144,76,B,GT,NWR Zula,NWR GT,57.023,60.00%,58.97%,57.50%,56.25%,50.00%,,,
145,77,D,GT,Dr CHAIR PHD,Porsche Team PaINske,56.961,66.67%,58.33%,55.71%,45.00%,,,,
146,69,B,P,DEX Rafarello,DEXTERITY II,56.801,72.73%,69.70%,54.84%,40.32%,29.41%,8.82%,,
147,78,B,GT,LMP Fazer,LMP eSports Team Croissants,56.411,72.50%,53.85%,50.71%,48.57%,34.38%,,,
148,79,B,GT,CR KORNI,CR Motorsport,56.249,75.00%,58.97%,47.22%,36.11%,34.29%,,,
149,80,A,GT,JSR Chronic,Japspeed Racing GT,56.241,67.86%,61.11%,50.00%,,,,,
150,81,C,GT,HYR Maul,HYR Roy Millward Motorsport,55.678,62.50%,58.97%,52.78%,52.14%,,,,
151,70,B,P,NDL HotPokets,NDL Green,55.658,73.53%,50.81%,47.06%,43.75%,,,,
152,82,B,GT,TNRVerCallum,TNR eSports - Team Aces,55.446,71.79%,70.71%,30.00%,22.86%,,,,
153,71,C,P,STEEL 5688,VER Very Legal,54.626,66.67%,55.88%,50.00%,49.19%,29.03%,,,
154,83,B,GT,ZR Derluki,Zephyrus Red,54.582,64.71%,54.29%,52.50%,46.43%,,,,
155,72,B,P,NDL Hotdog,NDL Green,54.380,73.53%,62.90%,39.39%,9.38%,,,,
156,84,C,GT,HYR Riddle U,HYR Roy Millward Motorsport,54.052,62.50%,60.53%,47.86%,44.44%,38.46%,,,
157,73,D,P,DMS Jarbs,DMS eSports Jaguar,53.969,63.64%,58.82%,54.84%,46.88%,35.48%,26.47%,,
158,74,B,P,EBT Duck,EBT eSports #217,53.892,76.47%,56.25%,18.18%,,,,,
159,75,C,P,JustUnkuuu,SFM Competizione,53.661,67.65%,56.67%,48.39%,44.12%,38.24%,35.29%,,
160,76,B,P,EBT TRK,EBT eSports #217,53.565,76.47%,48.39%,39.52%,32.35%,,,,
161,77,A,P,LMP Erimus,LMP eSports Team Shindo,53.549,73.53%,58.87%,55.88%,20.59%,5.88%,,,
